purchase,income,age ,zip
0,79.015,50,1
0,79.897,50,1
0,82.818,47,1
0,82.21,49,1
0,87.656,42,1
0,86.013,47,1
0,85.032,49,1
0,82.914,55,1
0,86.11,51,1
0,62.224,52,2
0,86.864,52,1
0,91.353,55,1
1,71.891,49,2
0,98.812,54,1
1,98.217,55,1
0,99.678,53,1
0,86.922,44,2
0,80.151,54,2
0,107.135,53,1
0,106.304,56,1
1,85.361,57,2
0,93.09,51,2
0,93.83,53,2
1,120.087,51,1
1,95.087,55,2
1,117.836,59,1
1,101.788,47,2
1,106.25,54,2
0,105.401,56,2
1,109.552,51,2
1,108.887,58,2
1,120.134,53,2
0,129.462,46,1
1,138.012,41,2
1,133.963,48,1
1,136.386,43,2
